kode,kab_kota,n_odr,n_otg,n_odp,n_pdp,n_confirm,n_sembuh,n_meninggal,last_update,lat,long
35.11,KAB. BONDOWOSO,9946,28,882,2,1,0,0,2020-04-15 12:55:11,"-8,0284796","114,0265067"
35.08,KAB. LUMAJANG,3100,170,286,23,8,1,2,2020-04-15 12:28:15,"-8,1295529","113,2236942"
35.79,KOTA BATU,981,57,129,13,2,1,0,2020-04-15 11:36:52,"-7,8769031","112,4998848"
35.19,KAB. MADIUN,417,237,228,9,3,1,0,2020-04-15 11:26:46,"-7,6666455","111,5912452"
35.13,KAB. PROBOLINGGO,4399,33,317,17,11,0,0,2020-04-15 16:29:49,"-7,8223105","113,3864559"
35.22,KAB. BOJONEGORO,14746,46,126,0,4,0,1,2020-04-14 15:18:13,"-7,1524790","111,8869290"
35.19,KAB. MADIUN,407,237,228,8,3,1,0,2020-04-14 15:11:29,"-7,6666455","111,5912452"
35.01,KAB. PACITAN,12643,10,496,4,1,0,0,2020-04-14 15:45:32,"-8,1318878","111,2278873"
35.71,KOTA KEDIRI,1174,77,160,6,7,2,0,2020-04-14 14:55:59,"-7,8228400","112,0118640"
35.12,KAB. SITUBONDO,3157,103,256,22,11,5,0,2020-04-14 14:51:35,"-7,7168478","113,9278534"
35.78,KOTA SURABAYA,4168,445,1447,536,228,39,23,2020-04-14 17:02:02,"-7,2756141","112,6426424"
35.14,KAB. PASURUAN,283,33,106,27,10,0,0,2020-04-14 14:24:38,"-7,7514338","112,8700750"
35.29,KAB. SUMENEP,22445,13,246,0,0,0,0,2020-04-14 14:13:41,"-7,0095355","113,8495442"
35.03,KAB. TRENGGALEK,16169,7,698,10,1,0,0,2020-04-14 14:08:01,"-8,176848","111,610650"
35.16,KAB. MOJOKERTO,5618,0,287,39,1,0,0,2020-04-14 13:58:29,"-7,586911","112,420605"
35.06,KAB. KEDIRI,9997,350,388,33,12,2,4,2020-04-14 14:03:08,"-7,8332959","112,1666262"
35.05,KAB. BLITAR,765,30,621,8,2,1,1,2020-04-14 13:56:06,"-8,2814419","112,3027620"
35.02,KAB. PONOROGO,12059,99,346,23,6,0,0,2020-04-14 13:55:53,"-7,8756185","111,4692888"
35.10,KAB. BANYUWANGI,3422,125,585,9,3,1,1,2020-04-14 13:53:11,"-8,4169235","114,3311312"
35.28,KAB. PAMEKASAN,4042,4042,124,2,5,0,1,2020-04-14 16:30:01,"-7,1548002","113,4379637"
35.15,KAB. SIDOARJO,626,571,463,104,45,5,6,2020-04-14 15:50:19,"-7,4338023","112,6734275"
35.73,KOTA MALANG,1243,153,481,85,8,7,0,2020-04-14 17:27:31,"-7,9786395","112,5617416"
35.25,KAB. GRESIK,860,139,1058,85,18,2,1,2020-04-14 15:49:25,"-7,1610846","112,6220300"
35.24,KAB. LAMONGAN,322 68,319,247,103,25,0,0,2020-04-14 16:52:41,"-7,1181110","112,4149810"
35.23,KAB. TUBAN,10817,89,476,10,3,0,1,2020-04-14 13:36:25,-6.899108667900085,111.763916015625
35.27,KAB. SAMPANG,12017,6,311,0,0,0,0,2020-04-14 13:36:05,"-7,1927155","113,2429293"
35.04,KAB. TULUNGAGUNG,7336,127,908,144,14,1,0,2020-04-14 13:32:19,"-7,7455014","111,8953035"
35.21,KAB. NGAWI,17046,10,236,12,0,0,0,2020-04-14 13:28:50,"-7,4324690","111,2547392"
35.75,KOTA PASURUAN,687,17,64,3,2,0,1,2020-04-14 13:28:39,"-7,6514338","112,8700750"
35.76,KOTA MOJOKERTO,740,1,199,6,0,0,0,2020-04-14 13:27:47,"-7,4714887","112,4217213"
35.09,KAB. JEMBER,13102,137,900,22,4,1,1,2020-04-14 16:22:24,"-8,3951516","113,6809395"
35.17,KAB. JOMBANG,6768,212,477,4,7,0,0,2020-04-14 13:24:01,"-7,5567779","112,2489964"
35.07,KAB. MALANG,1395,64,237,89,13,4,1,2020-04-14 16:53:07,-8.2084395,"112,7468452"
35.13,KAB. PROBOLINGGO,4290,27,317,16,4,0,0,2020-04-14 13:16:25,"-7,8223105","113,3864559"
35.20,KAB. MAGETAN,269,4,129,17,10,8,1,2020-04-14 13:21:38,"-7,6774309","111,3616371"
35.72,KOTA BLITAR,999,13,150,2,1,1,0,2020-04-14 13:11:28,"-8,1031510","112,1626800"
35.18,KAB. NGANJUK,19392,373,47,18,9,0,0,2020-04-14 13:11:18,"-7,6150520","111,6670610"
35.77,KOTA MADIUN,612,3,51,8,0,0,0,2020-04-14 12:44:24,"-7,6300605","111,4930316"
